file,system,scenario,take_or_run,reference_text,asr_transcript,wer,cer,source_or_output
S1_XTTS_run01.wav,XTTS-v2,S1,1,Ich bin gerade zwischen zwei Terminen und die Zahlung muss heute noch bearbeitet werden. Die schriftliche Bestätigung reiche ich direkt danach nach.,Ich bin gerade zwischen zwei Terminen und die Zahlung muss heute noch bearbeitet werden. Die schriftliche Bestätigung reiche ich direkt danach nach.,0.0,0.0,output
S1_XTTS_run02.wav,XTTS-v2,S1,2,Ich bin gerade zwischen zwei Terminen und die Zahlung muss heute noch bearbeitet werden. Die schriftliche Bestätigung reiche ich direkt danach nach.,Ich bin gerade zwischen zwei Terminen und die Zahlung muss heute noch bearbeitet werden.,0.3636,0.4041,output
S1_XTTS_run03.wav,XTTS-v2,S1,3,Ich bin gerade zwischen zwei Terminen und die Zahlung muss heute noch bearbeitet werden. Die schriftliche Bestätigung reiche ich direkt danach nach.,Ich bin gerade zwischen zwei Terminen und die Zahlung muss heute noch bearbeitet werden. Die schriftliche Bestätigung reiche ich direkt danach nach.,0.0,0.0,output
S2_XTTS_run01.wav,XTTS-v2,S2,1,Ich stehe gerade in der Apotheke und die Bestätigung in der App funktioniert nicht. Bitte helfen Sie mir mit der gestoppten Zahlung.,Ich stehe gerade in der Apotheke und die Bestätigung in der App funktioniert nicht. Bitte helfen Sie mir mit der gestoppten Zahlung.,0.0,0.0,output
S2_XTTS_run02.wav,XTTS-v2,S2,2,Ich stehe gerade in der Apotheke und die Bestätigung in der App funktioniert nicht. Bitte helfen Sie mir mit der gestoppten Zahlung.,Ich stehe gerade in der Apotheke und die Bestätigung in der App funktioniert nicht. Bitte helfen Sie mir mit der gestoppten Zahlung.,0.0,0.0,output
S2_XTTS_run03.wav,XTTS-v2,S2,3,Ich stehe gerade in der Apotheke und die Bestätigung in der App funktioniert nicht. Bitte helfen Sie mir mit der gestoppten Zahlung.,Ich stehe gerade in der Apotheke und die Bestätigung in der App funktioniert nicht. Bitte helfen Sie mir mit der gestoppten Zahlung.,0.0,0.0,output
S1_executive_take01.wav,human source,S1,1,see evaluation/scenario_texts.csv,Ich bin gerade zwischen zwei Terminen und die Zahl muss heute noch bearbeitet werden. Die schriftliche Bestätigung reiche ich dir direkt danach nach.,0.0909,0.0476,source
S2_customer_take01.wav,human source,S2,1,see evaluation/scenario_texts.csv,Ich stehe gerade in der Apotheke und die Bestätigung der App funktioniert nicht. Bitte helfen Sie mir mit der gestoppten Zahlung.,0.0455,0.0229,source
S1_executive_take02.wav,human source,S1,2,see evaluation/scenario_texts.csv,Ich bin gerade zwischen Zeitterminen und die Zahlung muss heute noch bearbeitet werden. Die schriftliche Bestellung reiche ich dir direkt danach nach.,0.1818,0.068,source
S2_customer_take02.wav,human source,S2,2,see evaluation/scenario_texts.csv,"Ich stehe gerade in der Apotheke und die Bestätigung der App funktioniert nicht. Bitte, helfen Sie mit der gestoppten Zahlung.",0.0909,0.0534,source
S1_executive_take03.wav,human source,S1,3,see evaluation/scenario_texts.csv,Ich bin gerade zwischen zwei Terminen und die Zahlung muss heute noch bearbeitet werden. Die schriftliche Bestätigung reiche ich dir direkt danach nach.,0.0455,0.0272,source
S2_customer_take03.wav,human source,S2,3,see evaluation/scenario_texts.csv,"Ich stehe gerade in der Apotheke und die Bestätigung der App funktioniert nicht. Bitte, helfen Sie mir mit der gestoppten Zahlung.",0.0455,0.0229,source
S1_RVC_take01.wav,RVC v2,S1,1,see evaluation/scenario_texts.csv,ich bin gerade zwischenzeittermin und die zahlen muss heute noch bearbeitet werden die schriftliche bestätigung reich ich dir direkt danach nach,0.2727,0.0816,output
S2_RVC_take01.wav,RVC v2,S2,1,see evaluation/scenario_texts.csv,Ich stehe gerade in der Apotheke und die Bestätigung der App funktioniert nicht. Bitte helfen Sie mir mit der gestaubten Zahlung.,0.0909,0.0458,output
S1_RVC_take02.wav,RVC v2,S1,2,see evaluation/scenario_texts.csv,Ich bin gerade der Zwischenzeittermin und die Zalm muss heute noch bearbeitet werden. Die schriftliche Bestätigung reiche ich dir direkt danach nach.,0.2273,0.1156,output
S2_RVC_take02.wav,RVC v2,S2,2,see evaluation/scenario_texts.csv,Ich sehe gerade in der Apotheke und die Bestätigung mit der App funktioniert nicht. Bitte helfen Sie mit der gestoppten Zahlung.,0.1364,0.0534,output
S1_RVC_take03.wav,RVC v2,S1,3,see evaluation/scenario_texts.csv,Ich bin gerade zwischen Zeittermin und die Zahl muss heute noch bearbeitet werden. Die schriftliche Bestätigung greife ich dir direkt danach nach.,0.2273,0.0952,output
S2_RVC_take03.wav,RVC v2,S2,3,see evaluation/scenario_texts.csv,"Ich stehe gerade in der Apotheke und die Bestätigung der App funktioniert nicht. Bitte, helfen Sie mir mit der gestoppten Zahlung.",0.0455,0.0229,output
S1_SEEDVC_take01.wav,Seed-VC,S1,1,see evaluation/scenario_texts.csv,Ich habe gerade einen Zwischenzahltermin und die Zahl muss heute noch bearbeitet werden. Die schüpfliche Bestätigung kriech ich direkt danach.,0.3636,0.2245,output
S2_SEEDVC_take01.wav,Seed-VC,S2,1,see evaluation/scenario_texts.csv,Ich sehe gerade in der Apotheke und die Bestätigung der App funktioniert nicht. Bitte helfen Sie mir nicht der gestorbenen Zahlung.,0.1818,0.084,output
S1_SEEDVC_take02.wav,Seed-VC,S1,2,see evaluation/scenario_texts.csv,"Ich bin gerade der Zwischenzeit, Hermin, und die Zahl muss heute noch bearbeitet werden. Die schüppliche Bestehung reiche ich der direkten Nacht nach.",0.4091,0.1973,output
S2_SEEDVC_take02.wav,Seed-VC,S2,2,see evaluation/scenario_texts.csv,ich stehe gelater in der apotheke und die bestätigung der app funktioniert nicht bitte helfen sie mit der gestorben zahlung,0.1818,0.0992,output
S1_SEEDVC_take03.wav,Seed-VC,S1,3,see evaluation/scenario_texts.csv,"Ich habe gerade den Zwischenzeittermin und die Zahlung muss heute noch bearbeitet werden, die schiffliche Bestätigung reich ich da direkt danach nach.",0.3182,0.1293,output
S2_SEEDVC_take03.wav,Seed-VC,S2,3,see evaluation/scenario_texts.csv,"Und die bestätigen eier Boots und Hitten nicht die, und eier Boots und Hitten nicht die, helfen Sie mir mit der Gestoppen-Zahlung.",0.7273,0.4504,output
